rule_id,category,condition,confidence,is_enforced,line,modality,name,needs_review,origin,signal_strength,verification_method
BR-021,CALCULATION,"v_interest := ROUND( (p_principal * p_annual_rate * p_tenure_days) / (100 * v_basis_days), 2 )",high,,39,deontic,Determine Interest,False,variable_derivation,4,Test (exercise the code path)
BR-022,CALCULATION,"v_interest_amount := ROUND( rec.balance * (v_interest_rate / 100) * (v_days_in_month / 365), 2 )",high,,49,deontic,Determine Interest Amount,False,variable_derivation,4,Test (exercise the code path)
BR-023,CALCULATION,"p_penalty_amount := LEAST(500, GREATEST(50, ROUND(p_shortfall_amount * 0.05, 2)))",high,,45,deontic,Determine Penalty Amount,False,variable_derivation,4,Test (exercise the code path)
BR-024,CALCULATION,"SELECT NVL(SUM(txn_amount), 0) INTO v_today_txn_total FROM transaction_ledger WHERE account_number = p_from_account AND txn_type = 'TRANSFER_OUT' AND TRUNC(txn_date) = TRUNC(SYSDATE)",high,,83,deontic,Determine Today Transaction Total,False,variable_derivation,4,Test (exercise the code path)
BR-025,LIMIT_CHECK,v_current_balance >= v_min_balance_req,high,,37,deontic,Enforce Current Balance at or above Minimum Balance Req,False,conditional_branch,4,Test (exercise the code path)
BR-026,LIMIT_CHECK,no preceding case matched,high,,34,deontic,Enforce default Minimum Balance Req,False,case_branch,4,Test (exercise the code path)
BR-027,VALIDATION,p_annual_rate IS NULL OR p_annual_rate < 0,high,,23,deontic,Validate Annual Rate,False,conditional_branch,4,Test (exercise the code path)
BR-028,VALIDATION,v_days_inactive > 365 AND v_current_status = 'ACTIVE',high,,27,deontic,Validate Current Status is ACTIVE,False,conditional_branch,4,Test (exercise the code path)
BR-029,VALIDATION,v_days_inactive <= 365 AND v_current_status = 'DORMANT',high,,40,deontic,Validate Current Status is DORMANT,False,conditional_branch,4,Test (exercise the code path)
BR-030,VALIDATION,p_day_count_basis = '360',high,,32,deontic,Validate Day Count Basis is 360,False,conditional_branch,4,Test (exercise the code path)
BR-031,VALIDATION,p_from_account = p_to_account,high,,39,deontic,Validate From Account is To Account,False,conditional_branch,4,Test (exercise the code path)
BR-032,VALIDATION,v_interest_amount > 0,high,,54,deontic,Validate Interest Amount above 0,False,conditional_branch,4,Test (exercise the code path)
BR-033,VALIDATION,p_principal IS NULL OR p_principal <= 0,high,,19,deontic,Validate Principal,False,conditional_branch,4,Test (exercise the code path)
BR-034,VALIDATION,p_tenure_days IS NULL OR p_tenure_days <= 0,high,,27,deontic,Validate Tenure Days,False,conditional_branch,4,Test (exercise the code path)
BR-035,VALIDATION,no preceding condition matched,medium,,45,deontic,Apply default Balance handling,False,conditional_branch,3,Test (exercise the code path)
BR-036,VALIDATION,no preceding condition matched,medium,,42,deontic,Apply default Current Balance handling,False,conditional_branch,3,Test (exercise the code path)
BR-037,VALIDATION,no preceding condition matched,medium,,49,deontic,Apply default Current Status handling,False,conditional_branch,3,Test (exercise the code path)
BR-038,VALIDATION,no preceding condition matched,medium,,35,deontic,Apply default Day Count Basis handling,False,conditional_branch,3,Test (exercise the code path)
BR-039,LIMIT_CHECK,rec.balance < 1000000,low,,41,deontic,"Enforce Balance below 1,000,000",True,conditional_branch,2,Test (exercise the code path)
BR-040,LIMIT_CHECK,rec.balance < 10000000,low,,43,deontic,"Enforce Balance below 10,000,000",True,conditional_branch,2,Test (exercise the code path)
BR-041,LIMIT_CHECK,rec.balance < 100000,low,,38,deontic,"Enforce Balance below 100,000",True,conditional_branch,2,Test (exercise the code path)
